action,blood glucose,reward,meal,risk,time
1.5931808948516846,142.76318,-4.152642147127072,0.0,1.5274200402911409,00:03
0.0,140.18318,-2.799810657173521,0.0,1.3469100075506604,00:06
0.0,138.45654,12.184948944365221,0.0,1.2267767701059782,00:09
0.0,137.35454,14.113532833742909,0.0,1.145409124612118,00:12
0.0,136.70316,14.065409650311057,0.0,1.0888176112150596,00:15
0.0,136.36565,14.03338797480623,0.0,1.0476252160409054,00:18
0.0,136.2315,14.013174546545436,0.0,1.015374336526755,00:21
0.0,136.20929,14.002175599193244,0.0,0.9875471289106575,00:24
0.0,136.21419,13.99952122907831,0.0,0.9609795663465974,00:27
0.0,136.1262,14.00860490694637,0.0,0.9334955977939992,00:30
0.00912179984152317,135.76486,14.035094571508937,0.0,0.9036660391960027,00:33
0.0,134.94073,14.078525292971971,0.0,0.8706394024351714,00:36
0.0,133.46933,14.134844429332688,0.0,0.8340150314941501,00:39
0.0,131.20111,14.193930240395261,0.0,0.7937431373350591,00:42
0.0,128.1761,14.230875175435388,0.0,0.7500438864855417,00:45
0.0,124.71652,14.22232220048609,0.0,0.7033398557835157,00:48
0.0,121.20858,14.176137946568984,0.0,0.6541984314918494,00:51
0.0,118.03972,14.112726070392265,0.0,0.6032823759582472,00:54
0.0,115.555756,14.055128571220152,0.0,0.5513075581001627,00:57
0.0,113.847496,14.01987167421435,0.0,0.499007198950644,01:00
0.0,112.62276,14.004767171602214,0.0,0.4471021375025659,01:03
0.0,111.504364,13.99719015087727,0.0,0.39627667795444305,01:06
0.0,110.11522,13.986672038280986,0.0,0.3471595898173747,01:09
0.0,108.12582,13.961159440463227,0.0,0.30030982450257465,01:12
0.0,105.49233,13.910825291787761,0.0,0.2562064999589792,01:15
0.0,102.599464,13.84895515802447,0.0,0.21524269556206604,01:18
0.0,99.92694,-10.229339081781145,0.0,0.17772259589289524,01:21
0.0,97.95415,-11.200474935606017,0.0,0.1438615254044823,01:24
0.0,97.110115,-11.530530128069302,0.0,0.11378842630257371,01:27
0.0,97.523224,-11.19576021014556,0.0,0.08755034875122308,01:30
0.0,98.87104,-10.435146674257899,0.0,0.0651185449381811,01:33
0.0,100.730705,14.154784890749582,0.0,0.04639578564372241,01:36
0.0,102.67898,14.134132005293491,0.0,0.031224548734057642,01:39
0.0,104.321014,14.09188559271665,0.0,0.019395762432589263,01:42
0.0,105.43395,14.051742072226553,0.0,0.01065782132957738,01:45
0.0,106.05312,14.025213269096504,0.0,0.004725628958539288,01:48
0.0,106.27099,14.008274933397376,0.0,0.001289456563803811,01:51
0.0,106.17973,13.996571623257301,0.0,2.3442672611912127e-05,01:54
0.0,105.86921,13.987927271599332,0.0,0.0005935916385982746,01:57
0.0,105.41651,13.981266182387944,0.0,0.002665160922846407,02:00
0.0,104.87977,13.976024748595893,0.0,0.005909356117946618,02:03
0.0,104.31274,13.972563690154571,0.0,0.010009279302166395,02:06
0.0,103.768974,13.971624680389365,0.0,0.014665100040983845,02:09
0.0,103.301895,13.973988022558464,0.0,0.019598439132836258,02:12
0.0,102.964745,13.980271384017627,0.0,0.024555973011007218,02:15
0.0,102.81064,13.99071407473722,0.0,0.0293122816233959,02:18
0.0,102.89257,14.004958064156458,0.0,0.03367197473744113,02:21
0.0,103.26343,14.02184620594276,0.0,0.037471141127818595,02:24
0.0,103.51676,14.014365832499605,0.0,0.040578172206705225,02:27
0.0,102.64747,13.94881308815025,0.0,0.04289401658133196,02:30
0.0,100.541405,13.853280121922635,0.0,0.04435192501870398,02:33
0.0,97.58686,-11.469710117656398,0.0,0.04491674661434705,02:36
0.0,94.172035,-13.308555196467632,0.0,0.04458383685152723,02:39
0.0,90.68512,-15.170570486302433,0.0,0.043377636940791525,02:42
0.0,87.51423,-16.816503540094185,0.0,0.041349981575069916,02:45
0.0,85.04746,-17.99993298741263,0.0,0.03857818923327445,02:48
0.0,83.67288,-18.487009349963422,0.0,0.03516298560615965,02:51
0.0,83.77854,-18.085030723374963,0.0,0.031226306771348997,02:54
0.0,85.69076,-16.71342551456457,0.0,0.026909024557550586,02:57
0.0,89.365654,-14.589031197495688,0.0,0.022368632236718675,03:00
0.0,94.20405,-12.154972075855865,0.0,0.017776924372948404,03:03
0.0,99.483345,-9.691102129465829,0.0,0.013317700423749378,03:06
0.0,104.48095,14.334816668995511,0.0,0.009184517601269801,03:09
0.0,108.52757,14.145219372193607,0.0,0.005578514610314003,03:12
0.0,111.27368,14.04095055886781,0.0,0.0027063242244910832,03:15
0.0,112.84945,14.00398816994216,0.0,0.0007780892678015286,03:18
0.0,113.49163,13.99771980375802,0.0,5.5934518241606055e-06,03:21
0.0,113.43698,14.000280427571093,0.0,0.0006005156857078696,03:24
0.0,112.917625,14.001863465826357,0.0,0.002772813927377593,03:27
0.0,112.13782,14.00004137957642,0.0,0.006729242374432969,03:30
0.0,111.259995,13.996011288909232,0.0,0.012672003792384777,03:33
0.0,110.43735,13.992297140161634,0.0,0.02079753703338792,03:36
0.0,109.82303,13.991694405408493,0.0,0.03129543829533751,03:39
0.0,109.566895,13.995882411597588,0.0,0.04434751339264493,03:42
0.0,109.79878,14.003744454851411,0.0,0.06012695723884912,03:45
0.0,110.61853,14.010709115434407,0.0,0.07879765585982856,03:48
0.0,112.119316,14.009621511899798,0.0,0.10051360554734251,03:51
0.0,114.3943,13.990928154391966,0.0,0.12541844320866216,03:54
0.0,117.50696,13.944071989197473,0.0,0.1536450815531245,03:57
0.0,121.34234,13.867158256161858,0.0,0.18531544246454004,04:00
0.0,125.5179,13.782263157271792,0.0,0.22054028172493478,04:03
0.0,129.59163,13.72106639727479,0.0,0.25941909816689235,04:06
0.0,133.12155,13.710006605588692,0.0,0.302040120325156,04:09
1.3272407054901123,135.70496,13.761562732899673,0.0,0.34848014366036784,04:12
0.0,137.1746,13.855046812528315,0.0,0.39879014425053627,04:15
0.0,137.71564,13.944996996221821,0.0,0.452899629067366,04:18
0.0,137.58899,14.012953463648786,0.0,0.5104830973898555,04:21
0.0,137.05247,14.054343702958493,0.0,0.5709321608957004,04:24
0.0,136.34584,14.070256800475244,0.0,0.6334080689425228,04:27
0.0,135.61159,14.07138759446853,0.0,0.6969198092944209,04:30
0.0,134.84782,14.072478680640849,0.0,0.7604039744280334,04:33
0.0,134.02151,14.076337436361062,0.0,0.8227958463482176,04:36
0.0,133.10095,14.082450853803378,0.0,0.883087125993421,04:39
0.16618824005126953,132.056,14.090205997536552,0.0,0.9403689852227475,04:42
0.0,130.85808,14.098869965991689,0.0,0.993858394820551,04:45
0.0,129.48,14.107565548739846,0.0,1.0428978714388166,04:48
0.0,127.895584,14.115229765434648,0.0,1.086942445846199,04:51
0.0,126.07958,14.120535482387426,0.0,1.1255613537086215,04:54
0.0,124.70048,14.082980015478277,0.0,1.1584464534756187,04:57
0.0,124.52783,14.009853393265782,0.0,1.185416988882849,05:00
